date,time,seconds_since_Epoch,tested,positive,deaths
3/8/20,7:00:00,1583650800,2259,371,19
3/8/20,20:00:00,1583697600,2421,415,19
3/9/20,0:00:00,1583712000,3779,494,21
3/9/20,5:00:00,1583730000,3830,497,21
3/9/20,15:00:00,1583766000,3897,510,21
3/9/20,21:00:00,1583787600,4228,607,24
3/10/20,1:00:00,1583802000,4338,630,25
3/10/20,6:00:00,1583820000,4388,666,25
3/10/20,15:00:00,1583852400,4532,675,25
3/10/20,22:00:00,1583877600,6085,902,27
3/11/20,3:00:00,1583895600,6152,941,28
3/11/20,4:00:00,1583899200,6184,954,28
3/11/20,6:00:00,1583906400,6738,954,28
3/11/20,14:00:00,1583935200,6765,962,28
3/11/20,15:00:00,1583938800,6828,970,28
3/11/20,18:00:00,1583949600,7410,1005,28
3/12/20,2:00:00,1583978400,8779,1220,35
3/12/20,14:00:00,1584021600,8847,1232,35
3/12/20,16:00:00,1584028800,9023,1255,35
3/12/20,17:00:00,1584032400,9046,1264,35
3/12/20,23:00:00,1584054000,10095,1493,36
3/13/20,1:00:00,1584061200,11608,1597,39
3/13/20,5:00:00,1584075600,11634,1623,40
3/13/20,14:00:00,1584108000,11660,1640,40
3/13/20,22:00:00,1584136800,15452,2106,47
3/14/20,1:00:00,1584147600,15699,2132,48
3/14/20,4:00:00,1584158400,15869,2184,49
3/14/20,16:00:00,1584201600,16135,2224,49
3/14/20,17:00:00,1584205200,16652,2350,49
3/14/20,19:00:00,1584212400,17280,2440,49
3/14/20,22:00:00,1584223200,19698,2598,54
3/15/20,3:00:00,1584241200,20107,2718,56
3/15/20,6:00:00,1584252000,20179,2790,56
3/15/20,15:00:00,1584284400,21014,2858,57
3/15/20,18:00:00,1584295200,21380,2901,57
3/15/20,21:00:00,1584306000,23089,3267,61
3/16/20,4:00:00,1584331200,26170,3490,63
3/16/20,22:00:00,1584396000,31659,4047,69
3/17/20,2:00:00,1584410400,34788,4275,78
3/17/20,5:00:00,1584421200,48747,4363,79
3/17/20,20:00:00,1584475200,53957,5253,89
3/18/20,2:00:00,1584496800,58427,5597,96
3/18/20,7:00:00,1584514800,58538,5612,96
3/18/20,20:00:00,1584561600,68460,7534,104
3/19/20,6:00:00,1584597600,74839,8021,125
3/19/20,15:00:00,1584630000,79286,10341,127
3/19/20,18:00:00,1584640800,82230,10751,145
3/19/20,23:00:00,1584658800,94114,11826,161
3/20/20,5:00:00,1584680400,94976,11885,161
3/20/20,18:00:00,1584727200,103363,13358,172
3/20/20,20:00:00,1584734400,109721,16506,172
3/21/20,0:00:00,1584748800,122291,17323,214
3/21/20,15:00:00,1584802800,129511,17849,236
3/21/20,18:00:00,1584813600,134659,18750,243
3/21/20,20:00:00,1584820800,143149,22983,251
3/21/20,23:00:00,1584831600,151461,23708,277
3/22/20,0:00:00,1584835200,155825,24002,292
3/22/20,15:00:00,1584889200,159638,24509,311
3/22/20,16:00:00,1584892800,163088,24822,317
3/22/20,20:00:00,1584907200,176686,31626,334
3/22/20,23:00:00,1584918000,184352,32449,341
3/23/20,1:00:00,1584925200,202236,32449,344
3/23/20,16:00:00,1584979200,213333,34273,395
3/23/20,18:00:00,1584986400,222014,40694,421
3/23/20,19:00:00,1584990000,226235,41278,432
3/23/20,21:00:00,1584997200,227948,41857,437
3/23/20,23:00:00,1585004400,234929,42531,459
3/24/20,2:00:00,1585015200,236105,42692,486
3/24/20,4:00:00,1585022400,246809,42706,495
3/24/20,15:00:00,1585062000,251220,43082,501
3/24/20,16:00:00,1585065600,255112,43847,514
3/24/20,19:00:00,1585076400,278466,50635,562
3/24/20,20:00:00,1585080000,287577,51504,573
3/24/20,21:00:00,1585083600,287778,51590,575
3/24/20,23:00:00,1585090800,294661,52698,666
3/25/20,1:00:00,1585098000,296886,53031,680
3/25/20,2:00:00,1585101600,297729,53052,684
3/25/20,16:00:00,1585152000,302023,53756,693
3/25/20,17:00:00,1585155600,323032,60293,731
3/25/20,20:00:00,1585166400,340184,63051,775
3/25/20,22:00:00,1585173600,343417,63966,779
3/26/20,0:00:00,1585180800,360347,64981,907
3/26/20,2:00:00,1585188000,360458,65111,917
3/26/20,17:00:00,1585242000,425084,67254,945
3/26/20,18:00:00,1585245600,445343,76795,985
3/26/20,19:00:00,1585249200,456623,78394,1016
3/26/20,21:00:00,1585256400,466066,80537,1049
