seconds_since_Epoch,tested,positive,deaths
1583651326,211,17,2
1583700173,243,17,2
1583713441,244,18,2
1583768768,273,18,2
1583804881,274,19,2
1583855685,397,20,2
1583900198,405,28,2
1583951429,476,28,2
1583981097,479,31,2
1584022321,482,34,2
1584055830,483,35,2
1584076983,497,49,2
1584110139,498,50,2
1584137412,755,56,2
1584161186,776,77,3
1584243426,776,77,4
1584255108,814,115,4
1584306715,1247,115,4
1584333620,1347,149,4
1584396920,1347,155,4
1584412310,1347,160,4
1584422731,1824,160,5
1584475630,1347,192,6
1584498947,2294,216,7
1584563350,2294,314,7
1584598356,2800,328,8
1584631341,2942,390,8
1584661658,3254,432,9
1584727343,3416,520,10
1584750868,7367,563,11
1584804875,8239,658,12
1584832449,9338,763,12
1584890168,9783,830,13
1584921301,11270,1007,13
1584982167,13094,1171,14
1585004414,13965,1227,18
1585062732,15547,1227,18
1585067114,15547,1412,18
1585092445,15547,1467,20
1585100787,16046,1467,20
1585152300,16046,1682,22
1585158458,18289,1682,22
1585175447,18289,1977,23
1585184300,23723,1977,23
1585243622,27539,2355,28
