seconds_since_Epoch,tested,positive,deaths
1583651326,36,0,
1583713441,47,0,
1583790458,63,0,
1583900199,77,2,
1583981097,121,2,
1584055830,126,3,
1584063709,158,12,
1584137412,175,16,
1584148400,256,25,
1584243426,264,33,
1584333620,355,53,
1584412310,355,54,
1584475630,355,65,
1584563350,355,80,
1584661658,2449,334,
1584729642,2449,549,
1584734752,2618,549,
1584750868,2618,549,3
1584820938,2618,787,5
1584907292,2618,1035,8
1584992546,2618,1328,15
1585077155,2618,1791,24
1585169788,2618,2295,43
1585251221,3128,2856,60
