seconds_since_Epoch,tested,positive,deaths
1583651326,361,89,
1583700173,361,105,
1583790458,361,142,
1583880061,361,173,
1583981097,361,216,
1584055830,361,325,
1584137412,421,421,
1584208421,524,524,
1584225606,524,524,1
1584243426,613,613,1
1584306715,729,729,3
1584396920,950,950,7
1584422731,7026,950,7
1584475630,7450,1374,7
1584563350,8458,2382,7
1584631341,10228,4152,7
1584734752,13178,7102,7
1584750869,13178,7102,26
1584804875,13178,7102,43
1584823540,16432,10356,43
1584890168,16432,10356,60
1584907292,21244,15168,60
1584925396,21244,15168,63
1584982168,21244,15168,99
1584988373,26951,20875,99
1585015867,26951,20875,125
1585024220,26951,20875,125
1585062732,26951,20875,125
1585067114,26951,20875,131
1585077155,31741,25665,131
1585081911,31741,25665,131
1585092445,31741,25665,192
1585158458,36887,30811,199
1585184300,36887,30811,280
1585245769,43334,37258,281
